ExperimentID,Fold,Topics,LogPerplexityTrain,Perplexity
F5_K009,5,9,-6.178477338508348,72.42808563762715
F5_K010,5,10,-6.194261009684347,73.22482878560093
F5_K011,5,11,-6.179703905940436,72.48968958290716
F5_K012,5,12,-6.198250143853292,73.42757979836861
F5_K013,5,13,-6.208534069706509,73.9528616741607
F5_K014,5,14,-6.228819131096042,75.00002290506046
F5_K015,5,15,-6.235949427900669,75.37161641805814
F5_K016,5,16,-6.226258544689025,74.8670261811737
F5_K017,5,17,-6.248168092776306,76.01267458010679
F5_K018,5,18,-6.251828021095413,76.20575358202645
F5_K019,5,19,-6.219687431962057,74.52680113186587
F5_K020,5,20,-6.28210191444257,77.82177139243933
F5_K021,5,21,-6.265414602508678,76.92681126351847
F5_K022,5,22,-6.2965296629380845,78.60393668073644
F5_K023,5,23,-6.3165955079919085,79.7048444173147
F5_K024,5,24,-6.323778589358608,80.10267903935963
F5_K025,5,25,-6.303012318501221,78.95793304995622
F5_K026,5,26,-6.325828301679382,80.21656598954795
F5_K027,5,27,-6.308702178994661,79.2699509725878
F5_K028,5,28,-6.330453895161274,80.47417046080429
F5_K029,5,29,-6.351329112993248,81.64706457711902
F5_K030,5,30,-6.408653137943773,84.95654188052255
F5_K031,5,31,-6.3476861912215,81.4411592025914
F5_K032,5,32,-6.375953313687621,83.05259341835121
F5_K033,5,33,-6.421199852242611,85.6986071969356
F5_K034,5,34,-6.445721552762557,87.16768880075784
F5_K035,5,35,-6.43108086134482,86.28757101158651
F5_K036,5,36,-6.439895931809855,86.81641426583903
F5_K037,5,37,-6.458454080197705,87.9403933311949
F5_K038,5,38,-6.475252578239997,88.9703410906275
F5_K039,5,39,-6.481202312656813,89.33801611410635
F5_K040,5,40,-6.4673973556275115,88.4872295395861
F5_K041,5,41,-6.470314540155294,88.6663351187749
F5_K042,5,42,-6.505940498418714,90.88312254474876
F5_K043,5,43,-6.493743096963286,90.1179816389074
F5_K044,5,44,-6.4982998301518755,90.40306807481744
F5_K045,5,45,-6.507479539504066,90.9801267549634
F5_K046,5,46,-6.5263960201847695,92.18090459594048
F5_K047,5,47,-6.526101662475815,92.16209854811295
F5_K048,5,48,-6.510714821636486,91.18438105458641
F5_K049,5,49,-6.519156217939517,91.71947665679531
F5_K050,5,50,-6.568670779739141,94.92201227171104
F5_K051,5,51,-6.573344066668492,95.2299893776422
F5_K052,5,52,-6.595571400879027,96.70854075113418
F5_K053,5,53,-6.610675494973849,97.7263358374487
F5_K054,5,54,-6.58338236656761,95.89491206888988
F5_K055,5,55,-6.619725208198025,98.34127864075295
F5_K056,5,56,-6.597658933732457,96.84857615661139
F5_K057,5,57,-6.608481482329631,97.57782914936821
F5_K058,5,58,-6.637740055583208,99.57695923204179
F5_K059,5,59,-6.604593855212199,97.31524034784616
F5_K060,5,60,-6.60825310554735,97.56238392615761
F5_K061,5,61,-6.603608831269134,97.24881943266072
F5_K062,5,62,-6.641449863937992,99.83334522662452
F5_K063,5,63,-6.647600022817585,100.2598397315985
F5_K064,5,64,-6.655906866018213,100.83878750010979
F5_K065,5,65,-6.660920443284796,101.18982670774909
F5_K066,5,66,-6.61047184832088,97.71254204453105
F5_K067,5,67,-6.6716682446171065,101.94648649318077
F5_K068,5,68,-6.685375075948597,102.91968068769164
F5_K069,5,69,-6.673304957106104,102.06220864301747
F5_K070,5,70,-6.71012761510586,104.70072449840161
F5_K071,5,71,-6.680301419314511,102.55836940291718
F5_K072,5,72,-6.705618738254761,104.37401252951763
F5_K073,5,73,-6.716601593806721,105.17161638693915
F5_K074,5,74,-6.728328426822345,106.02997942970845
F5_K075,5,75,-6.706098326048794,104.40871482067487
F5_K076,5,76,-6.7127930404259475,104.89434124360794
F5_K077,5,77,-6.721603748349087,105.53690339964584
F5_K078,5,78,-6.7007885183829154,104.0251471098213
F5_K079,5,79,-6.698301214635721,103.84595524006241
F5_K080,5,80,-6.7454194123654085,107.29354049180867
F5_K081,5,81,-6.7448306022643045,107.24975949276825
F5_K082,5,82,-6.764837212091476,108.74740857703748
F5_K083,5,83,-6.752673255089846,107.83436883325405
F5_K084,5,84,-6.752093953991483,107.7910776134387
F5_K085,5,85,-6.797811986503194,111.26160302049908
F5_K086,5,86,-6.759719109409139,108.36229994885431
F5_K087,5,87,-6.7796343029648565,109.86852265558956
F5_K088,5,88,-6.764034005534325,108.68688135612004
F5_K089,5,89,-6.8518504788037164,115.50812121053646
F5_K090,5,90,-6.824678522362194,113.35298103649733
F5_K091,5,91,-6.810691054170452,112.25929190533617
F5_K092,5,92,-6.790594967163199,110.70641149783687
F5_K093,5,93,-6.802245405991723,111.6040371687369
F5_K094,5,94,-6.783054837768031,110.12932272522035
F5_K095,5,95,-6.770735027103339,109.19288378192267
F5_K096,5,96,-6.821335889710142,113.09065340443641
F5_K097,5,97,-6.84780214627934,115.18444933353601
F5_K098,5,98,-6.866814261532387,116.71241818456062
F5_K099,5,99,-6.838588574177055,114.45118373977687
F5_K100,5,100,-6.803720644133146,111.71821704362323
