ExperimentID,Fold,Topics,UMass,CV,UCI,NPMI
F3_K084,3,84,-4.548766201237931,0.453250040145823,-5.565889653098709,-0.13868234398975082
F3_K085,3,85,-4.210558493557717,0.44114915780588904,-5.205504165635414,-0.1302266705601961
F3_K086,3,86,-4.5625464897882475,0.4515277803303585,-5.664210592006124,-0.1457560431193037
F3_K087,3,87,-4.4767573207726,0.4451199920305422,-5.583744437661649,-0.14249054773609593
F3_K088,3,88,-5.029868087438697,0.4442718312601777,-5.869513229194377,-0.15195858226777456
F3_K089,3,89,-4.33642915313823,0.447290808827544,-5.471280015784017,-0.13531736405562866
F3_K090,3,90,-5.252917281143599,0.42466844672684384,-6.021899444017414,-0.16114112582006132
F3_K091,3,91,-4.669351086067127,0.4291324335434208,-5.998890643374377,-0.15627064609480015
F3_K092,3,92,-5.658761715736881,0.4405170165474797,-6.23062236282963,-0.16669351954792974
F3_K093,3,93,-4.272417523488025,0.4537061930964027,-5.426274156246163,-0.13407514613505575
